filename,text
0, গতকাল মঙ্গলবার সকালে কলেজ মিলনায়তনে এ ঘটনা ঘটে
1, সকাল সাড়ে ১০টায় কলেজ মিলনায়তনে অনুষ্ঠান শুরু হয়
2, এ ছাড়া সব বিভাগের প্রধানেরা উপস্থিত ছিলেন
3, ভাঙচুর শুরু হয় একের পর এক চেয়ার
4, মুহূর্তে অনুষ্ঠান পণ্ড হয়ে যায়
5, অনুষ্ঠানটি পণ্ড হওয়ার ঘটনা খুবই দুঃখজনক
6, জনে জনে দাওয়াত দেওয়া সম্ভব নয়
7, পরে কলেজে গিয়ে অনুষ্ঠান পণ্ড হওয়ার কথা শুনেছেন
8, তিনি ঢাকার একটি হাসপাতালে ভর্তি রয়েছেন
9,ফিলিস্তিনিদের অস্ত্র দেওয়ার কাজে গতি বাড়াবে তেহরান
10, এতে আরও চার ফিলিস্তিনির মৃত্যু হয়েছে
11, ড্রোনটির খণ্ডগুলো অক্ষত অবস্থায় পাওয়া গেছে
12, সেগুলো পরীক্ষা করে দেখা হচ্ছে
13, শনিবার রাত সাড়ে আটটার দিকে এ ঘটনা ঘটে
14, এ সময় অপর দুই যাত্রী গুরুতর আহত হয়
15, পরে হাসপাতালে নেওয়ার পথে তাদের আর একজন মারা যায়
16, তবে নিহতদের পরিচয় পাওয়া যায়নি
17, মানবিক দিক বিবেচনা করে ফি কমানোর দাবি তাঁদের
18, ৩ নভেম্বর থেকে নিবন্ধন শুরু
19, নানা অজুহাত দিয়ে কাটিয়ে দিত
20, এই সমাবর্তনেও তেমনটাই হবে
21, সবকিছুর দাম বাড়লেও ফি বাড়ানো হয়নি
22, এটা কমানোর কোনো সুযোগ নেই
23," তিনি আরও বলেন, ‘আমরা কাউকে জোর করছি না"
24, কেউ না পারলে আসবে না
25, চারদিকে ‘গেল গেল’ রব
26, সমর্থকেরা বিমর্ষ
27, হতাশা লুকাতে পারেননি এনরিকেও
28, শিষ্যদের প্রতি অভিযোগ বা অনুযোগ নেই এনরিকের
29, দায় সব আমার
30, আমরা দ্বিতীয় লেগ আমাদের স্টেডিয়ামে খেলব
31, আর সত্যি আমাদের বীরত্বপূর্ণ ফুটবল খেলতে হবে
32, একইভাবে চেষ্টা করে যেতে হবে আমাদের
33,সর্বশেষ ওয়ানডেটি খেলেছিলেন গত বছরের ডিসেম্বরে
34, যেটি ছিল তাঁর দ্বিতীয় এশিয়ান ট্যুর জয়
35, মাত্র ৮ হোলের খেলা শেষ করে ফিরে যেতে হয়েছিল পরশু
36, ৯৮তম হয়ে ছিটকে গেছেন টুর্নামেন্ট থেকে
37, কিন্তু পায়ের চোটের কারণে নেইমার এখন মাঠের বাইরে
38, তবে আমি আমার দায়িত্ব সম্পর্কে জানি
39, সেই জার্সির দায়িত্ব এখন আমার কাঁধে দেওয়া হয়েছে
40, দশ নম্বর জার্সির একটা আলাদা ওজন আছে
41, পাঁচবারের বিশ্বচ্যাম্পিয়ন এই জার্সি
42, নম্বর সেখানে কোনো ব্যাপার না
43, তাঁরা বিনা মূল্যে প্রয়োজনীয় তথ্য পাবেন
44, বেশ কিছু শিক্ষাপ্রতিষ্ঠানে ক্লাস হয়েছে
45, স্বাভাবিক ছিল ট্রেন চলাচল
46, এর বাইরে অন্য কোথাও অপ্রীতিকর ঘটনা ঘটেনি
47, এতে জুনায়েদ ও হাসিবকে পলাতক দেখানো হয়েছে
48, গ্রেপ্তার হওয়া তিনজন হত্যার কথা স্বীকার করেছেন
49, লেখালেখির কারণেই তাঁরা ওয়াশিকুরকে হত্যা করেছেন
50, পলাতক দুই আসামিকে গ্রেপ্তার করতে চেষ্টা চলছে
51, ঘটনার পর পালানোর সময় ধরা পড়েন জিকরুল্লাহ ও আরিফুল
52, পরে মামলার তদন্তভার ডিবিকে দেওয়া হয়
53, এর মধ্যে জিকরুল্লাহ ও আরিফুল ধরা পড়েন
54, তাঁরা মাদ্রাসার ছাত্র
55, আর জুনায়েদ পালিয়ে যান
56, তাঁর বাড়ি হবিগঞ্জে
57," পরে তদন্তে বেরিয়ে আসে, মাসুমের প্রকৃত নাম হাসিব"
58, এর আগে যাত্রাবাড়ী এলাকায় তাঁরা ভাড়া বাসায় থাকতেন
59, মধ্যরাতের অশ্বারোহী ফয়েজ আহমেদ আর নেই
60, দুই নেত্রীও এক মেরুতে নেই
61, তাঁদের অবস্থান বিপরীতমুখী
62, প্রতিনিয়তই দুজন দুজনকে পরাজিত করার খেলায় মত্ত
63, একজন অপরজনকে অবরোধ করেন
64, অপরজন পুরো দেশ অবরুদ্ধ করেন
65," বিশেষ করে, বড় দুই দল ও দুই নেত্রীর মধ্যে"
66, তাঁদের চিহ্নিত করে পদ থেকে সরিয়ে দেওয়া হবে
67, তবু অনেকে এসেছেন
68, তাঁদের ধন্যবাদ
69," তিনি বলেন, ‘আমি আসলাম"
70," মিটিংয়ের সামনে বসে বসে পা নাড়ালাম, তা হবে না"
71, অনেক সহ্য করেছি
72, আর তো পারি না
73, সভা-সমাবেশে আসেন না
74," আমাদেরও পদ আছে, দায়িত্ব আছে"
75, কিন্তু তারপরও প্রতিটি সভা-সমাবেশে অংশ নিচ্ছি
76, পদ অলংকৃত করবেন
77, দলের সব সুযোগ-সুবিধা ভোগ করবেন
78, সংগঠনের কর্মকাণ্ডে অংশগ্রহণ করবেন না
79, এটি তো হতে পারে না
80, এটি সংগঠনের সঙ্গে প্রতারণার শামিল
81, নগর থেকে তৃণমূলে থানা-ওয়ার্ড পর্যায়ে এমন লোক আছেন
82, পদের প্রতি সুবিচার করুন
83, অন্যথায় সসম্মানে অব্যাহতি নিন
